,reviews,sentiment,int_category
31,army  you made all of this possible  taehyungs award winning line 😭 btsxamas armyxamas  amas,negative,2.0
32,army you made all of this possible 😭 amas btsxamas armyxamas,negative,2.0
33,armys you made all of this possible 😭 i swear i love this man,negative,2.0
34,bitch you finna go to jaiill 😭,negative,2.0
35,coproducer haha too beautiful ❤,strongly positive,1.0
36,integrate but dont assimilate 😡 immigration refugees migrants europe,strongly negtive,0.0
37,mad stupid ideas like building  homes a year says  😡,strongly negtive,0.0
38,was it planned to me when i started showing with my second pregnancy 😡,strongly negtive,0.0
39,i hope i remembered to clear my safari browser history 😕,neutral,5.0
40,nvr give up no matter what dont u ever give up  😡 paws up little monsters✊,strongly negtive,0.0
41,smiles day long post alert 😂,strongly positive,1.0
42,allthecrookedsaints by maggiestiefvater has so much potential but failed me 😕,neutral,5.0
43,amas  already making me cry 😭 you are wonderful and i can’t wait to ugly cry all night powerfulwomen,negative,2.0
44,amas mom look at that smile he is so beautiful 😭 please take my heart 😭❤❤,negative,2.0
45,amas mom look at that smile he is so beautiful 😭 please take my heart 😭❤❤,strongly positive,1.0
46,amas please whem will you show   i need to go to work in mins and i havent got shower yet 😭 i need to see my boys,negative,2.0
47,amas snapchat caption jackson 😭 jacksonxamas,negative,2.0
48,amas will it be streamed on another day  becuz i cant stay up much longer 😭,negative,2.0
49,asksam i would just to say i love you 😭,negative,2.0
50,blood 😈 amazon kindle paperwhite ″ ereader  ppi touchscreen w light wifi new 😭,negative,2.0
51,btsxamas  amas  bts guys you are doing amazing ❤ i cant wait to see you perform even though its only on my tv screen 😭,negative,2.0
52,btsxamas  amas  bts guys you are doing amazing ❤ i cant wait to see you perform even though its only on my tv screen 😭,strongly positive,1.0
53,clueless i tweeted a tbt today 😕 because i never ever i mean i don’t know what day of the week it is on any giv…,neutral,5.0
54,corrections 😡 need an edit option twitter,strongly negtive,0.0
55,electoralcollege is still a culprit 😡,strongly negtive,0.0
56,freecyntoiabrown  poor poor girl justice system is fucked up 😡,strongly negtive,0.0
57,greggs copied and pasted response to me in a dm when i queried a cold pasty 😕,neutral,5.0
58,hannahnew as louisa and rupertpenryjones as quinlan in thestrain ❤,strongly positive,1.0
59,lenisidiots just dont worry about me ill be fine ❤ i am gonna punch that eczemia in the face like a boss,strongly positive,1.0
60,military seriouslypissesmeoff 😡,strongly negtive,0.0
61,rdc drc rwanda paid for through taxpayers money in the uk amongst others a sickening travesty of justice 😡,strongly negtive,0.0
62,rteone  sent a tweet to  al porter victim  😡,strongly negtive,0.0
63,story 😡 magnetic phone holder mpow  degree rotatable car phone holder sticky magnetic car mounts dashboard pho…,strongly negtive,0.0
64,trump administration to end immigration protections for haitians giving them  months to leave ihatetrump 😡,strongly negtive,0.0
65,to any guy who didnt lie in their quotes talking about run me my money 😂,strongly positive,1.0
66,attracted to someone is more than what a lot of us have 😂 😂,strongly positive,1.0
67,daycare  pampers  wipes  clothes 😭,negative,2.0
68,if they not weak ah just be tryna lie like shit not gone come up 😭 like my name is booboolius the foolius,negative,2.0
69,niggas love to let em y’all kill me 😭,negative,2.0
70,then another with him holding a paper saying wish you were here 😭 im definitely going to marry this man,negative,2.0
71,you can find a way to get here  alright  😭,negative,2.0
72,live 😍 ❤ 💋 ❣  ❣ 💋 ❤ 😍 valerian sex november   at pm,strongly positive,1.0
73,live 😍 ❤ 💋 ❣  ❣ 💋 ❤ 😍 valerian sex november   at pm,strongly positive,1.0
74,live 😍 ❤ 💋 ❣  ❣ 💋 ❤ 😍  the year history of the sex toy,strongly positive,1.0
75,live 😍 ❤ 💋 ❣  ❣ 💋 ❤ 😍 valerian sex november   at pm,strongly positive,1.0
76,live 😍 ❤ 💋 ❣  ❣ 💋 ❤ 😍 valerian sex november   at pm,strongly positive,1.0
77,live 😍 ❤ 💋 ❣  ❣ 💋 ❤ 😍  the year history of the sex toy ❤ the yea…,strongly positive,1.0
78,when you come home smelling of other dogs❣ 😯  my ariel ❤ furbaby,strongly positive,1.0
79,i need a months worth of sleep m i cant fucking deal i dont even have weekends off cuz of work 😕 but you got this 😭😭👌🏾❤️,negative,2.0
80,i need a months worth of sleep m i cant fucking deal i dont even have weekends off cuz of work 😕 but you got this 😭😭👌🏾❤️,neutral,5.0
81,i need a months worth of sleep m i cant fucking deal i dont even have weekends off cuz of work 😕 but you got this 😭😭👌🏾❤️,strongly positive,1.0
82,ah thats not good 😕  if you need a new phone weve got some great deals for you check  mk,neutral,5.0
83,i only got  best friends 😂 the father the son and the holy ghost 🤷🏾‍♀️,strongly positive,1.0
84,😭 i got   i need a thigh tatt  and add on to my side  add on to my shoulder  one on my back  and one on my shoulder blade,negative,2.0
85,what time will they be there  also cheer loud for us army who cant go 😭 💕💕💕💕💕,negative,2.0
86,😭 oh damn  well my mom literally used to hold the back of my shirt and if touched anything i got yanked 💀,negative,2.0
87,ah thats not good 😕  if you need a new phone weve got some great deals for you check  mk,neutral,5.0
88,that doesnt sound right 😕  if you need a new phone weve got you covered check us out  mk,neutral,5.0
89,doing a good job 😕 oh well thats ok then help yourself to my daughter mr frankenstein,neutral,5.0
90,oh yeah it was a hot mess 😂,strongly positive,1.0
91,i m lazy too very lazy still i love winters 😍 winters late nights so peacefull nd beautiful ❤,strongly positive,1.0
92,like i barely want to ready  character mentions 😭,negative,2.0
93,lmao girl i was right with ya i know 😂 said hold up gotta go get more  we straight balled out on ya girls😂,strongly positive,1.0
94,you should try to see the dance 😂 its hard because mr son choreograph it for us you know him right,strongly positive,1.0
95,eh youre not its just gon then right 😂,strongly positive,1.0
96,hahahha i know what you meant 😂,strongly positive,1.0
97,that doesnt sound good at all 😕 if you need a new phone weve got you covered check us out  ck,neutral,5.0
98,ah there was so much going on i forgot about that sorry 😂,strongly positive,1.0
99,😭 maan that shit is nasty ham is where it’s at,negative,2.0
100,change of heart lol 😂 i mean it has been a mess since taoris and luhan left and considering we were ta…,strongly positive,1.0
101,stonewall do criminals mail in their political affiliation to you 😂 dinesh love your mug shot,strongly positive,1.0
102,😂 oh yes did you not know this it’s the old skool way for curing yre colds n flu can’t beat it 😃👍 brandy is even better 🤠,strongly positive,1.0
103,hi fam pls plss help me out i beg u the deadline is in  days 😭,negative,2.0
104,seriously though that hat 😂 😂 😂 wtf they are hideous and like  yrs out of date 😂,strongly positive,1.0
105,that first punch lemme know he was done for 😭 that last nigga moved strategically tho he wasnt gon move at all tbh 😭😭,negative,2.0
106,😂 the song no need kraa biggest nonfa of  chaley,strongly positive,1.0
107,😂 i don’t i’m not posting my mans at all but some people just like to make themselves seem more impor…,strongly positive,1.0
108,lmao true 😂 power of the internet lookin,strongly positive,1.0
109,why we’ll be in top  😂,strongly positive,1.0
110,😂 whatever comes to mind ima say i️t lol you play stupid ima show you stupid 🤷🏽‍♀️🤷🏽‍♀️😂 don’t be violent love lmao,strongly positive,1.0
111,good morning  is he a good boy  😂 have a nice day friend,strongly positive,1.0
112,ugh you just made my afternoon 😭 thank you love likewise ❤,negative,2.0
113,ugh you just made my afternoon 😭 thank you love likewise ❤,strongly positive,1.0
114,dash of nutmeg dash around the corner habberdashary 😂 ok you better say or i will go o…,strongly positive,1.0
115,😂 girl i feel you i don’t have the money to buy a new pair with every prescription,strongly positive,1.0
116,😂 she sounds nasty why would she expect them to make a dirty bed huh shannon 😂,strongly positive,1.0
117,lol this clown says they tanked 😂 this isn’t the nba they sucked for so long because of constant poor…,strongly positive,1.0
118,ooh thats too far 😂 nah i agree its utter trash what about you  eastenders or im a cel…,strongly positive,1.0
119,just twitter being a dk 😂 i wouldnt worry about it should be fine by tomorrow,strongly positive,1.0
120,lol this is is dad and it’s obvious 😂,strongly positive,1.0
121,how long you need  😭,negative,2.0
122,i want to blame the girls for being inactive on sns but ok 😂 we always agree this is ygs fault,strongly positive,1.0
123,i loved these mars stickers having a lot of fun 😂 💕 so cute,strongly positive,1.0
124,which i some times wish was a removable prop not guna lie 😂 jaredleto justiceforthejawline…,strongly positive,1.0
125,😂 you get away with sarcasm nice move 👏🏼✨,strongly positive,1.0
126,in laymen’s terms yes   😂,strongly positive,1.0
127,ok u are gonna give ppl the wrong idea about me 😂 and i already knew i just got reminded of that fact some few hours ago,strongly positive,1.0
128,i think it was jellyfish 😂 but either way stupid as hell look how happy they are what is she😂😂,strongly positive,1.0
129,id love to google you michelle 😂 😂,strongly positive,1.0
130,😂 youre very subtle my friend 👍,strongly positive,1.0
131,allahu brother why that gif 😭 well it happened time craving tak boeh bawak bincang cuz like puasa pulak tu…,negative,2.0
132,omg true 🤣 sm beloved’s this is how much sm dotes on exo lol 😂  yrs later still no promotions,strongly positive,1.0
133,lol you were such a little bad girl though like i was shooketh 😂,strongly positive,1.0
134,mood 😂 we are not you we have real life jobs  gerry,strongly positive,1.0
135,total idiot 😂 only ones i recognise this year is jamie and amir the rest who the hell are they 🙊,strongly positive,1.0
136,😂 you identify as a dreamer 😂 you’re either a dreamer or you aren’t how’s the weather in st petersburg today troll 😂,strongly positive,1.0
137,lol my team whooped on the raiders in the super bowl 😂 they’re not doing well either but this isn’t about them,strongly positive,1.0
138,uhm now that you mention it not sure it would be a good idea anymore 😂,strongly positive,1.0
139,lmao 😂 oh you were my rd reason to keep living and get sober for i love you,strongly positive,1.0
140,guess well just have to settle for a  game win streak ya got me 😂,strongly positive,1.0
141,ooh loved fame used to want to be in it 😂,strongly positive,1.0
142,😂 he’s an idiot but when it comes to fighting there’s no one better,strongly positive,1.0
143,it’s ok took an l all weekend 😂,strongly positive,1.0
144,what you joined to get lost 😂 looks like you had an amazing time over there that is what  is all about,strongly positive,1.0
145,i really fuckin tried 😭 gloves headband anime schoolgirl outfits and all i thinking about it now and cringing,negative,2.0
146,lol 😂 idk bro it’s the valley  you know the weather is weird here,strongly positive,1.0
147,allegedly n korea 😜 malnutrition will do that though 😂,strongly positive,1.0
148,nope just read about it 😡 if more accusers step forward then even if the first one is mostly nonsense…,strongly negtive,0.0
149,😭 man listen  i almost doubled back and im like nah it aint worth it 😭😭,negative,2.0
150,f it que five car pile up 😂,strongly positive,1.0
151,look at his face hell yea he did it 😂,strongly positive,1.0
152,about time the data was done😎 to support what we already know 😂 jk there are awesome tech women and men no matter,strongly positive,1.0
153,keep them going lol happybirffday from ya security skipper lol 😂 hope you having a blast,strongly positive,1.0
154,we went down and got a key and you won’t believe you planned the whole thing 😂 i️ won’t tell you,strongly positive,1.0
155,😂 hey hey well thanks,strongly positive,1.0
156,😂 if they wasnt something would be wrong lmao gadda love um hahah,strongly positive,1.0
157,😂 you pass welcome fellow new yorker 🗽,strongly positive,1.0
158,me too i feel like he’s learning more about modern life every day like today he learned what vlogging was 😂 he’s awesome,strongly positive,1.0
159,youre only  minutes late 😂 its today   days before you remember x,strongly positive,1.0
160,😂 and im over here struggling trying to get my brother a motorolaz,strongly positive,1.0
161,i wish i could attend another concert soon  bs msh fe egypt 😂 isa lebanon msln  its all about the spirit they left me ❤,strongly positive,1.0
162,i wish i could attend another concert soon  bs msh fe egypt 😂 isa lebanon msln  its all about the spirit they left me ❤,strongly positive,1.0
163,sweet talk will get you no where 😂,strongly positive,1.0
164,it was nice knowing you em rest in peace 😂,strongly positive,1.0
165,i was feeling quite sassy earlier 😂,strongly positive,1.0
166,he asked for her id 😂 like why id she wasnt jordanian will that disprove the fact she was harassed is…,strongly positive,1.0
167,hello sorry for bothering please help me fam 😭 rt  like pls promote if its ok end in  days 😭,negative,2.0
168,am alarm so i can’t really say too much 😂,strongly positive,1.0
169,i know i’m not sure how though i bombed my midterm 😂 and yeah see i just go to sleep 🤷🏻‍♀️,strongly positive,1.0
170,i know today’s just been long 😭 slept maybe  hours lastnight and i have a paper due by midnight,negative,2.0
171,😂 put sam reskepctt niggaa,strongly positive,1.0
172,😂 if he was an army he would be a terrible army 😂,strongly positive,1.0
173,terrys not that bad just fucks your wife 😂 i’ll get thinking cap on for more,strongly positive,1.0
174,😂 😂 bad belle who tell u say there were having sex before before 😕,neutral,5.0
175,😂 😂 bad belle who tell u say there were having sex before before 😕,strongly positive,1.0
176,keep lying to yourself sweetie 😂,strongly positive,1.0
177,lol its gonna pay off body gone be nicee 😂  🤷🏽‍♀️💗😂😂,strongly positive,1.0
178,😂 i like the fact it needed the original image just in case you couldnt guess,strongly positive,1.0
179,rted yours rt mine too i need heelp 😭,negative,2.0
180,i think most canadians are oblivious to the “i’m cooler more famous than you” bubble 😂,strongly positive,1.0
181,tom brady is vegan and he’s the goat so your point is frail 😂 thomas has had garbage cans throwing t…,strongly positive,1.0
182,sweden do you mean this one 😂,strongly positive,1.0
183,no way 😂 i mean it’s good when i’m driving but when i’m in the passenger seat or idk pushing a shoppi…,strongly positive,1.0
184,its profound in a deep soulsearching way but also in the direct way you mean 😂 i feel that with a l…,strongly positive,1.0
185,theres two men kissing on my screen rn 😂 im just getting around to watching it whoops,strongly positive,1.0
186,😂 first day on the job,strongly positive,1.0
187,lmao thank you thats my favorite part from the whole video 😂,strongly positive,1.0
188,this gif 😂 but omg so happy rn 😭💗😭💗,negative,2.0
189,this gif 😂 but omg so happy rn 😭💗😭💗,strongly positive,1.0
190,i was your  keep grinding or get get blocked simple 😂,strongly positive,1.0
191,well some of us do 😂 but not enough i know and that really sucks we gotta do better,strongly positive,1.0
192,have you seen the whole video she claimed to know more than him because she taught at inner city school 😂 like ok,strongly positive,1.0
193,exactly but my j is pretty amazing 😂 but still women are incredible,strongly positive,1.0
194,packing is no fun but traveling is 😂 and yeah i feel you on that yummy food part 😂😂,strongly positive,1.0
195,bridge i think thats rightmakes more sense too 😂,strongly positive,1.0
196,👀👀  u a freak huh lol dont you ever get tired of me 😂,strongly positive,1.0
197,which is pm pt 😭,negative,2.0
198,this just disgusts me beyond words 😡,strongly negtive,0.0
199,thanks atee ko 😭 love u god bless u more 💋,negative,2.0
200,im sure once im in and settled ill feel better 😭 thank you so much yes come up whenever ❤️,negative,2.0
201,im sure once im in and settled ill feel better 😭 thank you so much yes come up whenever ❤️,strongly positive,1.0
202,i’m crying 😭 so proud of our boys they look so good,negative,2.0
203,where can i watch the live stream of the real show not the red carpet 😭,negative,2.0
204,hello sorry for bothering please help me fam 😭 rt  like pls promote if its ok end in  days 😭,negative,2.0
205,thanks angel we need all the well wishes 😭 pathetic pair we are,negative,2.0
206,😭 i wish i felt this way about myself thank you,negative,2.0
207,ii didn’t know that was a “thing” 😕 but i’m also generally not a fan of very long extend…,neutral,5.0
208,haha amna so sweet ❤ thankyou yar means a lot 🌸 ap 😂,strongly positive,1.0
209,haha amna so sweet ❤ thankyou yar means a lot 🌸 ap 😂,strongly positive,1.0
210,trying thank you pero its more than a hundred pages haha 😭 ill just relayout na lang agad huhu,negative,2.0
211,thanks for being tolerant of it man i really appreciate it 😭 a lot of people aren’t which is honestly…,negative,2.0
212,theyre all getting me today and that trip down pit road ugh so happy for you guys but still a tough day 😭 uglycrying,negative,2.0
213,we should design it while you’re alive bc we can’t put it up until you’re dead 😕 it’s really too ba…,neutral,5.0
214,😭 i finished what you talkin bout,negative,2.0
215,omg that sounds terrible i’m so sorry 😭 definitely keep at it with the coconut oil it keeps in th…,negative,2.0
216,ur so good to me and u give great uplifting advice andy 😭 yeah i’m working on balancing it bc sometimes we forget,negative,2.0
217,aargh you made me cry  😭,negative,2.0
218,thank you 😭 you too all the best for your revision hehehe tomorrow’s study date still on ah 😘,negative,2.0
219,hello sorry for bothering please help me fam 😭 rt  like pls promote if its ok end in  days 😭,negative,2.0
220,😡 and they call this protecting jobs and making sure the uk economy is strong,strongly negtive,0.0
221,lmaoo  then the inside of ya mouth be feeling like 😭 ugh i hate it so much but can’t stop myself f…,negative,2.0
222,every time you change ya name i feel like i gained a follower 😭 stop playing w my emotions ily bby💕,negative,2.0
223,i wish i could 😭 girl when you eat eat for me too 😂😂,negative,2.0
224,i wish i could 😭 girl when you eat eat for me too 😂😂,strongly positive,1.0
225,armaan i love you 😭,negative,2.0
226,i know 😭 but when ppl are younger than me the age gap always feels bigger than it actually is,negative,2.0
227,laksdcgabxshdfvg thank you jiayii 😭,negative,2.0
228,noo 😭 thank you anyway love ya’ 💓,negative,2.0
229,ayaans birthday pic ❤,strongly positive,1.0
230,well this just sucks metoo books 😡,strongly negtive,0.0
231,mmhm i park in front of my bedroom window 😭 i heard glass and a thump i looked out and thought someo…,negative,2.0
232,youre very welcome princess 😘 can i hope a follow back from you lovely aspen ❤ make me so happy,strongly positive,1.0
233,ill miss you forever 😭 and one day im gonna be thinking no more yugioh spam because youre not here anymore,negative,2.0
234,literally why isnt there one near me 😭 my palette is almost completely down for the count…,negative,2.0
235,whaa 😕,neutral,5.0
236,shinjiro it’s great getting more of him in pq since he was only briefly in p 😭,negative,2.0
237,im your biggest fan ndicela ik qha 😭,negative,2.0
238,i had to take a step up and do it for my self this year im growing up 😜 😂,strongly positive,1.0
239,thats terrible we understand 😕 how about we make you happy with a new one check our deals  ck,neutral,5.0
240,of course you’re awesome sorry i never came back from my lurk 😭 when i got home you had ended but i…,negative,2.0
241,history made by our kings   november   at   😭,negative,2.0
242,i did  but im sure you dont want no nubs rubbing on ya balls 😕 so if you want them acrylics you better listen to girl  😉,neutral,5.0
243,😭,negative,2.0
244,i want something like that  😭,negative,2.0
245,❄️ ive been worrying about you the entire time 😭,negative,2.0
246,trust me girl 😭 go through his pictures if he ever wore a turtleneck ✂️,negative,2.0
247,i only have two shirts 😭 quoted the tweet and added my own stuff to it❤ thank you guys for being s…,negative,2.0
248,i only have two shirts 😭 quoted the tweet and added my own stuff to it❤ thank you guys for being s…,strongly positive,1.0
249,you saying all this like i’ll do any of this 😭 thats what bitches do period  i didnt say i condone i…,negative,2.0
250,😭 when i’m with y’all i’ll probably smoke but that’s it 🤦🏻‍♀️,negative,2.0
251,😭 that’s true thank you for your wise words,negative,2.0
252,they never want an asian santa 😭,negative,2.0
253,m tons of plastic 😡 exactly what are we doing to their world,strongly negtive,0.0
254,thanks jennifer not sure how these things work 😕  an,neutral,5.0
255,esp since i have no wifi 😭 ohh yea gotta do some shopping then then,negative,2.0
256,rted yours rt mine too i need heelp 😭,negative,2.0
257,lool oh sorry we’ll i unliked it 😭 and nah i’m shy that ain’t gonna happen,negative,2.0
258,oh no 😭 we recommend trying  if that doesnt fix it try  and keep us posted,negative,2.0
259,thats amazing 😭 and joy is just the best person too,negative,2.0
260,last night i prayed compline at  am 😭,negative,2.0
261,coming from you you would not believe how much that means to me 😭 thank you,negative,2.0
262,oh god not charlie rose 😕,neutral,5.0
263,i hate you cause you said dejha is your favorite person 😕 we both lightskin we supposed to stick together but you chose up,neutral,5.0
264,wel am beth twp i drydar 😕,neutral,5.0
265,now i feel stupid 😕 good to hear then all the best n luck for,neutral,5.0
266,giving this moment back to army is one of the highlights ❤,strongly positive,1.0
267,really had fun in this interview thank u  ❤,strongly positive,1.0
268,wow this is so fake how is this even possible 😕 where my votes go its sad but anyway l w…,neutral,5.0
269,whats a nugg 😕,neutral,5.0
270,yass really full of drama 😕 i hope they gonna fix this soon 🙏,neutral,5.0
271,well crap i cannot find it 😕 the only ones i can find now say he has be…,neutral,5.0
272,that doesnt sound good at all 😕 if you need a new phone weve got you covered check us out  ck,neutral,5.0
273,another angel gone homeher voice was a giftrip angel u touched so many lov u always ❤ 😭,negative,2.0
274,another angel gone homeher voice was a giftrip angel u touched so many lov u always ❤ 😭,strongly positive,1.0
275,and arrogant humans wrote the definitions to their benefit nest pas 😡,strongly negtive,0.0
276,not unlike yourself right  😡 idiot,strongly negtive,0.0
277,geez im so sorry 😕 i know how that goes though it may just be a coping mechanism in order to fee…,neutral,5.0
278,that hat is a metaphor for racial stereotyping 😡 jokes i’m not even offended jokes aside that’s a really cool design,strongly negtive,0.0
279,fl is a long way away 😕,neutral,5.0
280,please dont say ugly bitches what these girls are doing is bad but dont say that 😕  sorry my bad english,neutral,5.0
281,that’s crazy  but not the first time i’ve heard something like this 😕 fwiw verizon handl…,neutral,5.0
282,but like no small men sizes except for the vapor max 😡 i guess nike doesn’t think women wear sneakers 🙄,strongly negtive,0.0
283,😡 well that’s a frustrating little tidbit,strongly negtive,0.0
284,ohh rip get better soon man 😕,neutral,5.0
285,hey darla seriously no wonder why you dont follow sienna 😕,neutral,5.0
286,sorry about that daryl 😕 is there anything in particular we can look at for you dean,neutral,5.0
287,as likely that adolph hitler could be ‘redeemed’ 😕 by the way are you doing some advan…,neutral,5.0
288,😕 i see this  think why doesnt goku use instant transmission,neutral,5.0
289,you can’t really include snyder and death re this film 😕,neutral,5.0
290,not your best girl 😕 amas,neutral,5.0
291,happening right now 😡 a pod driven into the covei taiji japan 😢💔,strongly negtive,0.0
292,😡 vinegar unfollows deletes account smashes phone 😁 thatll show her,strongly negtive,0.0
293,that sounds painful 😕 if you need a new phone weve got you covered check us out  ck,neutral,5.0
294,i hated any of the endless documentaries on him 😡 what’s to know he’s piece of 💩 oh wait white man w…,strongly negtive,0.0
295,sits just at the bra line it isn’t pleasant gosh i hate it 😡 hope yours clears soon xx,strongly negtive,0.0
296,im so jealous congrats ❤,strongly positive,1.0
297,we were just at nauset to visit but obvs you werent there 😕 hope your little ones are doing well…,neutral,5.0
298,it’s gonna feel like forever til friday 😕 i guess i’m just gonna rewatch some highlights from ao montreal rg laver etc,neutral,5.0
299,this problem seems so big it almost seems like women need to wear body cameras like cops 😕,neutral,5.0
300,that doesnt sound good at all 😕  if you need a new phone weve got you covered check us out  mk,neutral,5.0
301,😡 hillary shut up,strongly negtive,0.0
302,i just cant even find words people are utterly vile 😡 have you heard from tara at all is she ok her acc seems to be gone,strongly negtive,0.0
303,that doesnt sound good at all 😕  if you need a new phone weve got you covered check us out  mk,neutral,5.0
304,arrgh mathsiness really dont how you cope not that im a maths dunce or anything 😕 got loads…,neutral,5.0
305,kim seokjin ❤ hes a vocalist and the official visual otherwise known as the third from the left and…,strongly positive,1.0
306,love u ❤,strongly positive,1.0
307,square up dad 😡 aww hope j got his  ball back,strongly negtive,0.0
308,that doesnt sound good at all 😕  if you need a new phone weve got you covered check us out  mk,neutral,5.0
309,oh mikaylayou are so sweet thank you ❤ i think i just need a little vacation and good genuine peopl…,strongly positive,1.0
310,if you want to go to tumblr than you should ill try to be more active there for you ❤ + we can also…,strongly positive,1.0
311,was so nervous for them tof smashed it good on her 👏🏻 unlucky stanley and shappi 😕 imaceleb,neutral,5.0
312,😕 its really dark down there but she said she wasnt a serial killer maybe theres a nice coffeho…,neutral,5.0
313,playoffs as i said 😜 or do ye know what the playoffs are😜😜😜😂😂😂😂,strongly positive,1.0
314,i miss getting lost with you funnily enough the whole trip felt like me coming home 😕 odd,neutral,5.0
315,you know how i feel about that word 😡,strongly negtive,0.0
316,aw thats sad 😕  if youre looking to buy a new phone weve got some great deals for you check  mk,neutral,5.0
317,thats not good jay 😕 can you tell us what postcode area you were in when trying to access the netw…,neutral,5.0
318,partially culture shock partially seein how far she can push her dad 😡  iq that isn’t focused in ri…,strongly negtive,0.0
319,yeah but chunky musclesnot chunky belly bits 😕,neutral,5.0
320,wut who did this 😡,strongly negtive,0.0
321,ehhthat’s kind of why i hate it 😕 i like grace at christmas where gifts are just gifts and not ea…,neutral,5.0
322,these are the players i want to drop none of them have so far yet 😕,neutral,5.0
323,crazy how bad he fell off 😕 but aye you can only be in the rap game for so long before the next wave takes over yanno,neutral,5.0
324,not a clue i’m afraid 😕 there are plenty of photos but i wouldn’t know wher…,neutral,5.0
325,fucking autocorrect 😡  bmw these days tho lad,strongly negtive,0.0
326,also there should be a twitter account for just exposing everyone who steals your tweets 🤣🤣 😕 ill let myself out,neutral,5.0
327,when i see a  lines long tweet i think that is too much information who needs it 😕,neutral,5.0
328,i know 😕 terrible treat me like a dickhead ill be running right after you,neutral,5.0
329,did it wtf its making me angry why did he need to do this 😡,strongly negtive,0.0
330,aww baby youre my mamacita crush monday too i love you ❤ 😘,strongly positive,1.0
331,i need the gretzky one but the website says they are sold out 😕 problems,neutral,5.0
332,ads after every song  bad 😡 bout to say goodbye,strongly negtive,0.0
333,that doesnt sound right 😕  if you need a new phone weve got you covered check us out  mk,neutral,5.0
334,ah thats not good 😕  if you need a new phone weve got some great deals for you check  mk,neutral,5.0
335,happy birthday kevin have some coconut ice cream and drive past the wrong way sign 😜 love ya buddy  happy th ❤️😂,strongly positive,1.0
336,happy birthday kevin have some coconut ice cream and drive past the wrong way sign 😜 love ya buddy  happy th ❤️😂,strongly positive,1.0
337,bless u ❤ thank you for saying this it means a lot 😭 i dont know sometimes is difficult because i woul…,negative,2.0
338,bless u ❤ thank you for saying this it means a lot 😭 i dont know sometimes is difficult because i woul…,strongly positive,1.0
339,that doesnt sound right 😕  if you need a new phone weve got you covered check us out  mk,neutral,5.0
340,my jerry died 😕 but he loved twd,neutral,5.0
341,im in love with kian and bobbys friendship theyre the cutest 😍 love biankobby ❤,strongly positive,1.0
342,😕  fingers dipped in a piea hand firmly holding a cock   nuts  whats the message behind this kim 😂😂,neutral,5.0
343,😕  fingers dipped in a piea hand firmly holding a cock   nuts  whats the message behind this kim 😂😂,strongly positive,1.0
344,his face at the end when she touched his man oh its just told us everything i ❤ posessive boyfriend 😏,strongly positive,1.0
345,ouch that sounds bad 😕 if youre planning on a new phone we can help check our offers  mj,neutral,5.0
346,i have been 😕 i guess i just reached my limit of their bs i don’t like the negativity that’s for sure 🙁,neutral,5.0
347,that doesnt sound good at all 😕  if you need a new phone weve got you covered check us out  mk,neutral,5.0
348,😍 with ur video today u are so sweet  kind ❤ that you doing this i didnt  rescue a cat or a dog b…,strongly positive,1.0
349,fuck man 😕 not uncle joe too,neutral,5.0
